Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
114,65,16,173,[(genotype: 2670, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2502, frequency: 5)],33,569231,42,381818,2,092308
115,65,18,173,[(genotype: 2670, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2502, frequency: 5)],33,046154,42,107143,2,123077
116,65,19,173,[(genotype: 2670, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2502, frequency: 5)],32,753846,41,842105,2,153846
117,64,19,171,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 5), (genotype: 2312, frequency: 5)],33,203125,41,844828,2,187500
118,63,17,171,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 5), (genotype: 2312, frequency: 5)],34,158730,42,135593,2,206349
119,63,19,173,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 5), (genotype: 2312, frequency: 5)],33,634921,42,135593,2,206349
120,63,18,172,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4)],33,841270,41,916667,2,222222
121,63,19,176,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4)],33,571429,41,918033,2,253968
122,62,18,180,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4)],34,322581,41,951613,2,274194
123,62,13,174,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4)],35,258065,41,951613,2,274194
124,63,15,174,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4)],34,190476,41,951613,2,269841
125,61,16,171,[(genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4)],35,049180,42,609375,2,245902
126,60,17,172,[(genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4)],35,383333,43,092308,2,266667
127,60,15,171,[(genotype: 2670, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4)],35,883333,43,092308,2,266667
128,61,17,172,[(genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4), (genotype: 2670, frequency: 4)],34,819672,43,712121,2,196721
129,59,19,180,[(genotype: 2502, frequency: 5), (genotype: 2670, frequency: 4), (genotype: 2312, frequency: 4)],35,525424,43,753623,2,237288
130,59,18,175,[(genotype: 2502, frequency: 5), (genotype: 2670, frequency: 4), (genotype: 2312, frequency: 4)],35,796610,43,753623,2,237288
131,58,18,176,[(genotype: 2502, frequency: 5), (genotype: 2312, frequency: 4), (genotype: 6302, frequency: 3)],36,465517,43,943662,2,293103
132,59,20,176,[(genotype: 2502, frequency: 4), (genotype: 2312, frequency: 4), (genotype: 6302, frequency: 3)],35,389831,44,472222,2,237288
133,60,21,176,[(genotype: 2502, frequency: 4), (genotype: 2312, frequency: 4), (genotype: 6302, frequency: 3)],34,566667,44,472222,2,233333
134,58,20,173,[(genotype: 2502, frequency: 4), (genotype: 2312, frequency: 4), (genotype: 6302, frequency: 3)],36,051724,44,256757,2,275862
135,58,17,175,[(genotype: 2502, frequency: 4), (genotype: 2312, frequency: 4), (genotype: 6302, frequency: 3)],36,862069,44,256757,2,275862
136,59,19,179,[(genotype: 2502, frequency: 4), (genotype: 2312, frequency: 4), (genotype: 6302, frequency: 3)],35,762712,44,256757,2,271186
137,58,18,176,[(genotype: 2502, frequency: 4), (genotype: 2312, frequency: 4), (genotype: 6302, frequency: 3)],36,672414,44,253333,2,293103
138,58,19,179,[(genotype: 2502, frequency: 4), (genotype: 2312, frequency: 4), (genotype: 6302, frequency: 3)],36,448276,44,253333,2,293103
139,58,21,174,[(genotype: 2502, frequency: 4), (genotype: 2312, frequency: 4), (genotype: 6302, frequency: 3)],35,965517,44,253333,2,293103
140,60,22,179,[(genotype: 2502, frequency: 5), (genotype: 2312, frequency: 5), (genotype: 6302, frequency: 3)],34,550000,44,253333,2,283333
141,58,20,174,[(genotype: 2502, frequency: 5), (genotype: 2312, frequency: 5), (genotype: 2052, frequency: 4)],36,310345,44,294872,2,310345
142,57,20,172,[(genotype: 2502, frequency: 5), (genotype: 2312, frequency: 5), (genotype: 2052, frequency: 4)],37,000000,44,265823,2,350877
143,57,22,174,[(genotype: 2312, frequency: 6), (genotype: 2502, frequency: 5), (genotype: 2052, frequency: 4)],36,543860,44,050000,2,385965
144,58,23,177,[(genotype: 2312, frequency: 6), (genotype: 2502, frequency: 5), (genotype: 2052, frequency: 5)],35,706897,44,050000,2,379310
145,59,20,176,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 5)],35,898305,44,050000,2,372881
146,60,23,177,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 5)],34,566667,44,050000,2,366667
147,59,24,178,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 5)],34,915254,44,049383,2,389831
148,59,26,181,[(genotype: 2502, frequency: 7), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 5)],34,440678,44,048780,2,406780
149,59,26,174,[(genotype: 2502, frequency: 7), (genotype: 2312, frequency: 6), (genotype: 2052, frequency: 5)],34,457627,44,048780,2,406780
