Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
97,128,12,29,[(genotype: 4211672626221707711336546, frequency: 5), (genotype: 6365515760444054535522136, frequency: 2), (genotype: 6310533563123373014226105, frequency: 2)],18,992188,17,019830,3,648438
98,129,15,31,[(genotype: 4211672626221707711336546, frequency: 5), (genotype: 8265515760444054535522136, frequency: 2), (genotype: 6365515760444054535522136, frequency: 2)],18,457364,16,983380,3,720930
99,130,16,28,[(genotype: 4211672626221707711336546, frequency: 5), (genotype: 2265515760444054535522136, frequency: 3), (genotype: 8265515760444054535522136, frequency: 2)],18,053846,16,956284,3,753846
100,131,13,32,[(genotype: 4211672626221707711336546, frequency: 5), (genotype: 2265515760444054535522136, frequency: 3), (genotype: 8265515760444054535522136, frequency: 2)],17,954198,17,037736,3,740458
101,134,13,30,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 6310533563123373014226105, frequency: 3), (genotype: 2265515760444054535522136, frequency: 3)],17,358209,17,010638,3,761194
102,133,15,29,[(genotype: 4211672626221707711336546, frequency: 5), (genotype: 6310533563123373014226105, frequency: 3), (genotype: 2265515760444054535522136, frequency: 3)],17,135338,17,135770,3,759398
103,134,12,29,[(genotype: 4211672626221707711336546, frequency: 5), (genotype: 6310533563123373014226105, frequency: 3), (genotype: 2265515760444054535522136, frequency: 3)],17,029851,17,156812,3,768657
104,125,11,29,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 6310533563123373014226105, frequency: 3), (genotype: 2265515760444054535522136, frequency: 3)],18,176000,17,166253,3,944000
105,123,14,31,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 6310533563123373014226105, frequency: 3), (genotype: 2265515760444054535522136, frequency: 3)],18,065041,17,274510,4,000000
106,125,17,29,[(genotype: 4211672626221707711336546, frequency: 4), (genotype: 6310533563123373014226105, frequency: 3), (genotype: 2265515760444054535522136, frequency: 3)],17,384000,17,237864,4,000000
